DM	LAENGE	KLEMMMIN	KLEMMMAX	DMLOCH	ARTIKEL	NORM
12	30	15	24.75	14	001	8.8s
12	35	24.75	29.75	14	002	8.8s
12	40	29.75	34.75	14	003	8.8s
12	45	34.75	39.75	14	004	8.8s
12	50	39.75	44.75	14	005	8.8s
12	60	44.75	54.75	14	006	8.8s
16	40	30	34	18	007	8.8s
16	45	34	39	18	008	8.8s
16	50	39	44	18	009	8.8s
16	55	44	49	18	010	8.8s
16	60	49	54	18	011	8.8s
16	65	54	59	18	012	8.8s
16	70	59	64	18	013	8.8s
16	75	64	69	18	014	8.8s
16	80	69	74	18	015	8.8s
16	90	74	84	18	016	8.8s
16	100	84	94	18	017	8.8s
16	110	94	104	18	018	8.8s
16	120	104	114	18	019	8.8s
16	130	114	124	18	020	8.8s
16	140	124	134	18	021	8.8s
16	150	134	144	18	022	8.8s
16	160	144	154	18	023	8.8s
16	170	154	164	18	024	8.8s
16	180	164	174	18	025	8.8s
16	190	174	184	18	026	8.8s
16	200	184	194	18	027	8.8s
16	220	194	214	18	028	8.8s
16	240	214	234	18	029	8.8s
16	250	234	244	18	030	8.8s
16	270	244	264	18	031	8.8s
16	300	264	294	18	032	8.8s
16	350	294	344	18	033	8.8s
16	400	344	394	18	034	8.8s
16	500	394	494	18	035	8.8s
16	600	494	594	18	036	8.8s
20	40	25	32.5	22	037	8.8s
20	45	32.5	37.5	22	038	8.8s
20	50	37.5	42.5	22	039	8.8s
20	55	42.5	47.5	22	040	8.8s
20	60	47.5	52.5	22	041	8.8s
20	65	52.5	57.5	22	042	8.8s
20	70	57.5	62.5	22	043	8.8s
20	75	62.5	67.5	22	044	8.8s
20	80	67.5	72.5	22	045	8.8s
20	85	72.5	77.5	22	046	8.8s
20	90	77.5	82.5	22	047	8.8s
20	100	82.5	92.5	22	048	8.8s
20	110	92.5	102.5	22	049	8.8s
20	120	102.5	112.5	22	050	8.8s
20	130	112.5	122.5	22	051	8.8s
20	140	122.5	132.5	22	052	8.8s
20	150	132.5	142.5	22	053	8.8s
20	160	142.5	152.5	22	054	8.8s
20	180	152.5	172.5	22	055	8.8s
20	190	172.5	182.5	22	056	8.8s
20	200	182.5	192.5	22	057	8.8s
20	210	192.5	202.5	22	058	8.8s
20	220	202.5	212.5	22	059	8.8s
20	240	212.5	232.5	22	060	8.8s
20	250	232.5	242.5	22	061	8.8s
20	275	242.5	267.5	22	062	8.8s
20	300	267.5	292.5	22	063	8.8s
20	350	292.5	342.5	22	064	8.8s
20	400	342.5	392.5	22	065	8.8s
20	500	392.5	492.5	22	066	8.8s
20	600	492.5	592.5	22	067	8.8s
24	50	35	41	27	068	8.8s
24	55	41	46	26	069	8.8s
24	60	46	51	26	070	8.8s
24	65	51	56	26	071	8.8s
24	70	56	61	26	072	8.8s
24	75	61	66	26	073	8.8s
24	80	66	71	26	074	8.8s
24	85	71	76	26	075	8.8s
24	90	76	81	26	076	8.8s
24	100	81	91	26	077	8.8s
24	110	91	101	26	078	8.8s
24	120	101	111	26	079	8.8s
24	130	111	121	26	080	8.8s
24	140	121	131	26	081	8.8s
24	150	131	141	26	082	8.8s
24	160	141	151	26	083	8.8s
24	170	151	161	26	084	8.8s
24	180	161	171	26	085	8.8s
24	200	171	191	26	086	8.8s
24	210	191	201	26	087	8.8s
24	220	201	211	26	088	8.8s
24	230	211	221	26	089	8.8s
24	250	221	241	26	090	8.8s
24	260	241	251	26	091	8.8s
24	280	251	271	26	092	8.8s
24	300	271	291	26	093	8.8s
24	330	291	321	26	094	8.8s
24	350	321	341	26	095	8.8s
24	390	341	381	26	096	8.8s
24	400	381	391	26	097	8.8s
24	415	391	406	26	098	8.8s
24	450	406	441	26	099	8.8s
24	500	441	491	26	100	8.8s
24	550	491	541	26	101	8.8s
24	600	541	591	26	102	8.8s
30	75	55	64.5	34	103	8.8s
30	80	64.5	69.5	34	104	8.8s
30	85	69.5	74.5	34	105	8.8s
30	90	74.5	79.5	34	106	8.8s
30	100	79.5	89.5	34	107	8.8s
30	110	89.5	99.5	34	108	8.8s
30	120	99.5	109.5	34	109	8.8s
30	130	109.5	119.5	34	110	8.8s
30	140	119.5	129.5	34	111	8.8s
30	150	129.5	139.5	34	112	8.8s
30	160	139.5	149.5	34	113	8.8s
30	170	149.5	159.5	34	114	8.8s
30	180	159.5	169.5	34	115	8.8s
30	190	169.5	179.5	34	116	8.8s
30	200	179.5	189.5	34	117	8.8s
30	220	189.5	209.5	34	118	8.8s
30	260	209.5	249.5	34	119	8.8s
30	280	249.5	269.5	34	120	8.8s
30	300	269.5	289.5	34	121	8.8s
30	400	289.5	389.5	34	122	8.8s
30	500	389.5	489.5	34	123	8.8s
36	90	70	78	40	124	8.8s
36	100	78	88	40	125	8.8s
36	120	88	108	40	126	8.8s
36	130	108	118	40	127	8.8s
36	140	118	128	40	128	8.8s
36	150	128	138	40	129	8.8s
36	160	138	148	40	130	8.8s
36	170	148	158	40	131	8.8s
36	180	158	168	40	132	8.8s
36	190	168	178	40	133	8.8s
36	200	178	188	40	134	8.8s
36	220	188	208	40	135	8.8s
36	240	208	228	40	136	8.8s
36	260	228	248	40	137	8.8s
36	280	248	268	40	138	8.8s
36	300	268	288	40	139	8.8s
36	400	288	388	40	140	8.8s
36	500	388	488	40	141	8.8s
