TABLE	DM	LAENGE	KLEMMMIN	KLEMMMAX
SCH912	4	5	0	5
SCH912	4	6	1	6
SCH912	4	8	3	8
SCH912	4	10	5	10
SCH912	4	12	7	12
SCH912	4	14	9	14
SCH912	4	16	11	16
SCH912	4	18	13	18
SCH912	4	20	15	20
SCH912	4	22	17	22
SCH912	4	25	20	25
SCH912	4	30	25	30
SCH912	4	35	30	35
SCH912	4	40	35	40
SCH912	4	45	40	45
SCH912	4	50	45	50
SCH912	4	55	50	55
SCH912	4	60	55	60
SCH912	4	65	60	65
SCH912	4	70	65	70
SCH912	4	75	70	75
SCH912	4	80	75	80
SCH912	4	90	80	90
SCH912	4	100	90	100
SCH912	4	110	100	110
SCH912	5	6	1	6
SCH912	5	8	3	8
SCH912	5	10	5	10
SCH912	5	12	7	12
SCH912	5	14	9	14
SCH912	5	16	11	16
SCH912	5	18	13	18
SCH912	5	20	15	20
SCH912	5	22	17	22
SCH912	5	25	20	25
SCH912	5	30	25	30
SCH912	5	35	30	35
SCH912	5	40	35	40
SCH912	5	45	40	45
SCH912	5	50	45	50
SCH912	5	55	50	55
SCH912	5	60	55	60
SCH912	5	65	60	65
SCH912	5	70	65	70
SCH912	5	75	70	75
SCH912	5	80	75	80
SCH912	5	90	80	90
SCH912	5	100	90	100
SCH912	5	110	100	110
SCH912	5	120	110	120
SCH912	5	130	120	130
SCH912	5	140	130	140
SCH912	5	150	140	150
SCH912	5	160	150	160
SCH912	6	6	1	6
SCH912	6	8	3	8
SCH912	6	10	5	10
SCH912	6	12	7	12
SCH912	6	14	9	14
SCH912	6	16	11	16
SCH912	6	18	13	18
SCH912	6	20	15	20
SCH912	6	22	17	22
SCH912	6	25	20	25
SCH912	6	30	25	30
SCH912	6	35	30	35
SCH912	6	40	35	40
SCH912	6	45	40	45
SCH912	6	50	45	50
SCH912	6	55	50	55
SCH912	6	60	55	60
SCH912	6	65	60	65
SCH912	6	70	65	70
SCH912	6	75	70	75
SCH912	6	80	75	80
SCH912	6	90	80	90
SCH912	6	100	90	100
SCH912	6	110	100	110
SCH912	6	120	110	120
SCH912	6	130	120	130
SCH912	6	140	130	140
SCH912	6	150	140	150
SCH912	6	160	150	160
SCH912	6	180	160	180
SCH912	6	200	180	200
SCH912	8	8	1	6
SCH912	8	10	3	8
SCH912	8	12	5	10
SCH912	8	14	7	12
SCH912	8	16	9	14
SCH912	8	18	11	16
SCH912	8	20	13	18
SCH912	8	22	15	20
SCH912	8	25	18	23
SCH912	8	30	23	28
SCH912	8	35	28	33
SCH912	8	40	33	38
SCH912	8	45	38	43
SCH912	8	50	43	48
SCH912	8	55	48	53
SCH912	8	60	53	58
SCH912	8	65	58	63
SCH912	8	70	63	68
SCH912	8	75	68	73
SCH912	8	80	73	78
SCH912	8	90	78	88
SCH912	8	100	88	98
SCH912	8	110	98	108
SCH912	8	120	108	118
SCH912	8	130	118	128
SCH912	8	140	128	138
SCH912	8	150	138	148
SCH912	8	160	148	158
SCH912	8	180	158	178
SCH912	8	200	178	198
SCH912	10	12	5	10
SCH912	10	14	7	12
SCH912	10	16	9	14
SCH912	10	18	11	16
SCH912	10	20	13	18
SCH912	10	22	15	20
SCH912	10	25	18	23
SCH912	10	30	23	28
SCH912	10	35	28	33
SCH912	10	40	33	38
SCH912	10	45	38	43
SCH912	10	50	43	48
