handle	class	display	area	family	visible
B6E	Ks_Plate	0	1	-1	True
B6F	Ks_Plate	0	1	-1	True
B70	Ks_Plate	0	1	-1	True
B71	Ks_Plate	0	1	-1	True
B72	Ks_Bolt	0	0	-1	True
B73	Ks_Bolt	0	1	-1	True
B74	Ks_Bolt	0	1	-1	True
B75	Ks_Bolt	0	1	-1	True
B76	Ks_Bolt	0	1	-1	True
BB2	Ks_Shape	0	2	-1	True
BB3	Ks_Shape	0	2	-1	True
BB4	Ks_Shape	0	2	-1	True
BC9	Ks_Shape	0	2	-1	True
BF2	Ks_Shape	0	2	-1	True
BFD	Ks_Shape	0	2	-1	True
BFE	Ks_Shape	0	2	-1	True
C00	Ks_Shape	0	2	-1	True
C0D	Ks_Shape	0	2	-1	True
C0E	Ks_Shape	0	2	-1	True
C0F	Ks_Shape	0	2	-1	True
C10	Ks_Shape	0	2	-1	True
C11	Ks_Shape	0	2	-1	True
C1C	Ks_Plate	0	2	-1	True
C1D	Ks_Plate	0	2	-1	True
C1E	Ks_Plate	0	2	-1	True
C1F	Ks_Plate	0	2	-1	True
C20	Ks_Plate	0	2	-1	True
C21	Ks_Plate	0	2	-1	True
C2C	Ks_Shape	0	2	-1	True
C37	Ks_Shape	0	2	-1	True
C38	Ks_Shape	0	2	-1	True
C39	Ks_Plate	0	2	-1	True
C3A	Ks_Plate	0	2	-1	True
C3B	Ks_Plate	0	0	-1	True
C46	Ks_Plate	0	2	-1	True
C47	Ks_Plate	0	2	-1	True
C52	Ks_Shape	0	2	-1	True
C7A	Ks_Shape	0	3	-1	True
C7B	Ks_Shape	0	0	-1	True
C7C	Ks_Shape	0	3	-1	True
C7D	Ks_Shape	0	0	-1	True
C7E	Ks_Shape	0	3	-1	True
C7F	Ks_Shape	0	0	-1	True
C80	Ks_Shape	0	3	-1	True
C81	Ks_Shape	0	0	-1	True
C82	Ks_Shape	0	3	-1	True
C83	Ks_Shape	0	0	-1	True
C8E	Ks_Bolt	0	3	-1	True
C8F	Ks_Bolt	0	3	-1	True
C9A	Ks_BendShape	0	3	-1	True
C9B	Ks_Bolt	0	3	-1	True
C9C	Ks_Bolt	0	3	-1	True
C9D	Ks_Bolt	0	3	-1	True
C9E	Ks_Bolt	0	3	-1	True
CAC	Ks_Shape	0	3	-1	True
CAD	Ks_Bolt	0	3	-1	True
CAE	Ks_Bolt	0	3	-1	True
CAF	Ks_Bolt	0	3	-1	True
CB0	Ks_Bolt	0	3	-1	True
CBC	Ks_Shape	0	3	-1	True
CBD	Ks_Bolt	0	3	-1	True
CBE	Ks_Bolt	0	3	-1	True
CBF	Ks_Bolt	0	3	-1	True
CC0	Ks_Bolt	0	3	-1	True
CDF	Ks_Shape	0	3	-1	True
CE0	Ks_Shape	0	3	-1	True
CE1	Ks_Bolt	0	3	-1	True
CEC	Ks_Shape	0	3	-1	True
CED	Ks_Shape	0	3	-1	True
