handle	class	linkNo	type	target	bolts	genParts	holes	verdict
BB2	Ks_Shape	0	(unread)	BC9	0	0	0	link-detail-unread
BB3	Ks_Shape	0	(unread)	BC9	0	0	0	link-detail-unread
BB4	Ks_Shape	0	(unread)	BC9	0	0	0	link-detail-unread
BC9	Ks_Shape	0	(unread)	BB2	0	0	0	link-detail-unread
BC9	Ks_Shape	1	(unread)	BB3	0	0	0	link-detail-unread
BC9	Ks_Shape	2	(unread)	BB4	0	0	0	link-detail-unread
C0E	Ks_Shape	0	(unread)	C0F	0	0	0	link-detail-unread
C0F	Ks_Shape	0	(unread)	C0E	0	0	0	link-detail-unread
C10	Ks_Shape	0	(unread)	C11	0	0	0	link-detail-unread
C11	Ks_Shape	0	(unread)	C10	0	0	0	link-detail-unread
C1C	Ks_Plate	0	(unread)	C1D	0	0	0	link-detail-unread
C1D	Ks_Plate	0	(unread)	C1C	0	0	0	link-detail-unread
C1E	Ks_Plate	0	(unread)	C1F	0	0	0	link-detail-unread
C1F	Ks_Plate	0	(unread)	C1E	0	0	0	link-detail-unread
C20	Ks_Plate	0	(unread)	C21	0	0	0	link-detail-unread
C21	Ks_Plate	0	(unread)	C20	0	0	0	link-detail-unread
C37	Ks_Shape	0	(unread)	C38	0	0	0	link-detail-unread
C38	Ks_Shape	0	(unread)	C37	0	0	0	link-detail-unread
C39	Ks_Plate	0	(unread)	C3A	0	0	0	link-detail-unread
C39	Ks_Plate	1	(unread)	C3B	0	0	0	link-detail-unread
C3A	Ks_Plate	0	(unread)	C39	0	0	0	link-detail-unread
C3B	Ks_Plate	0	(unread)	C39	0	0	0	link-detail-unread
C46	Ks_Plate	0	(unread)	C47	0	0	5	link-detail-unread
C47	Ks_Plate	0	(unread)	C46	0	0	0	link-detail-unread
C7A	Ks_Shape	0	(unread)	C7B	2	0	8	read
C7A	Ks_Shape	1	(unread)	C7D	4	1	8	read
C7A	Ks_Shape	2	(unread)	C7F	4	1	8	read
C7A	Ks_Shape	3	(unread)	C81	4	1	8	read
C7B	Ks_Shape	0	(unread)	C7A	0	0	2	link-detail-unread
C7C	Ks_Shape	0	(unread)	C7A	0	0	2	link-detail-unread
C7D	Ks_Shape	0	(unread)	C7A	0	0	1	link-detail-unread
C7E	Ks_Shape	0	(unread)	C7A	0	0	1	link-detail-unread
C7F	Ks_Shape	0	(unread)	C7A	0	0	2	link-detail-unread
C80	Ks_Shape	0	(unread)	C7A	0	0	2	link-detail-unread
C81	Ks_Shape	0	(unread)	C7A	0	0	1	link-detail-unread
C82	Ks_Shape	0	(unread)	C7A	0	0	1	link-detail-unread
C9A	Ks_BendShape	0	(unread)	C7A	0	0	4	link-detail-unread
CAC	Ks_Shape	0	(unread)	C7A	0	0	4	link-detail-unread
CBC	Ks_Shape	0	(unread)	C7A	0	0	4	link-detail-unread
CDF	Ks_Shape	0	(unread)	CE0	1	0	4	read
CDF	Ks_Shape	1	(unread)	CEC	8	1	4	read
CDF	Ks_Shape	2	(unread)	D04	8	1	4	read
CE0	Ks_Shape	0	(unread)	CDF	0	0	2	link-detail-unread
CEC	Ks_Shape	0	(unread)	CDF	0	0	2	link-detail-unread
CED	Ks_Shape	0	(unread)	CDF	0	0	2	link-detail-unread
CEE	Ks_Shape	0	(unread)	CDF	0	0	4	link-detail-unread
D04	Ks_Shape	0	(unread)	CDF	0	0	2	link-detail-unread
D05	Ks_Shape	0	(unread)	CDF	0	0	2	link-detail-unread
D06	Ks_Shape	0	(unread)	CDF	0	0	4	link-detail-unread
D23	Ks_Shape	0	(unread)	D24	2	0	12	read
D23	Ks_Shape	1	(unread)	D33	2	0	12	read
D23	Ks_Shape	2	(unread)	D38	2	0	12	read
D24	Ks_Shape	0	(unread)	D23	0	0	4	link-detail-unread
D25	Ks_Shape	0	(unread)	D23	0	0	2	link-detail-unread
D33	Ks_Shape	0	(unread)	D23	0	0	2	link-detail-unread
D34	Ks_Shape	0	(unread)	D23	0	0	2	link-detail-unread
D38	Ks_Shape	0	(unread)	D23	0	0	2	link-detail-unread
D39	Ks_Shape	0	(unread)	D23	0	0	2	link-detail-unread
DBF	Ks_Shape	0	(unread)	?	4	1	0	read
DBF	Ks_Shape	1	(unread)	ED0	4	1	0	read
DBF	Ks_Shape	2	(unread)	?	0	1	0	read
ED0	Ks_Shape	0	(unread)	DBF	0	0	4	link-detail-unread
1002	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
1003	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
1007	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
1008	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
1009	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
100A	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
100E	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
100F	Ks_Plate	0	(unread)	?	0	0	0	link-detail-unread
10BB	Ks_Shape	0	(unread)	10BF	0	0	0	link-detail-unread
10BB	Ks_Shape	1	(unread)	10C0	0	0	0	link-detail-unread
10BB	Ks_Shape	2	(unread)	10C4	0	0	0	link-detail-unread
10BB	Ks_Shape	3	(unread)	10C5	0	0	0	link-detail-unread
10BC	Ks_Shape	0	(unread)	10C6	0	0	0	link-detail-unread
10BC	Ks_Shape	1	(unread)	10C7	0	0	0	link-detail-unread
10BC	Ks_Shape	2	(unread)	10CB	0	0	0	link-detail-unread
10BC	Ks_Shape	3	(unread)	10CC	0	0	0	link-detail-unread
10BD	Ks_Shape	0	(unread)	10BE	0	0	0	link-detail-unread
10BD	Ks_Shape	1	(unread)	10BB	0	0	0	link-detail-unread
