OTHER	1E5	PcRebarManager	0			1/0/0;0/1/0;0/0/1
OTHER	209	AcDb3dSolid	0	5282.792,-4297.43,-90	282.792,-9180.847,-210;10282.792,585.986,30	1/0/0;0/1/0;0/0/1
OTHER	217	AcDb3dSolid	0	9882.792,-8780.847,4030	9482.792,-9180.847,30;10282.792,-8380.847,8030	1/0/0;0/1/0;0/0/1
OTHER	21B	AcDb3dSolid	0	682.792,-8780.847,4030	282.792,-9180.847,30;1082.792,-8380.847,8030	1/0/0;0/1/0;0/0/1
OTHER	21F	AcDb3dSolid	0	5282.792,-8780.847,4030	4882.792,-9180.847,30;5682.792,-8380.847,8030	1/0/0;0/1/0;0/0/1
OTHER	223	AcDb3dSolid	0	5282.792,185.986,4030	4882.792,-214.014,30;5682.792,585.986,8030	1/0/0;0/1/0;0/0/1
OTHER	227	AcDb3dSolid	0	682.792,185.986,4030	282.792,-214.014,30;1082.792,585.986,8030	1/0/0;0/1/0;0/0/1
OTHER	22B	AcDb3dSolid	0	9882.792,185.986,4030	9482.792,-214.014,30;10282.792,585.986,8030	1/0/0;0/1/0;0/0/1
OTHER	22F	AcDb3dSolid	0	682.792,-4297.43,4030	282.792,-4697.43,30;1082.792,-3897.43,8030	1/0/0;0/1/0;0/0/1
OTHER	233	AcDb3dSolid	0	9882.792,-4297.43,4030	9482.792,-4697.43,30;10282.792,-3897.43,8030	1/0/0;0/1/0;0/0/1
SHAPE	1726	HE300B	DIN.DIN_HEB	1252.792,-8780.847,50	1252.792,-8780.847,6050	6000	ByLayer	HE 300 B	0	0,0	0	0	1/0/0;0/1/0;0/0/1		PS_Shape	1102.792,-8930.847,50;1402.792,-8630.847,6050		Ks_Shape
SHAPE	1727	300X20	DIN.DIN_FLACH	1402.792,-8780.847,40	1102.792,-8780.847,40	300	ByLayer	BRFL 300x20	90	0,10	0	0	1/0/0;0/1/0;0/0/1		PS_Shape	1102.792,-8930.847,30;1402.792,-8630.847,50		Ks_Shape
OTHER	1728	Ks_VolBody	0	1333.792,-8858.847,-11.25	1318.792,-8876.168,-97.5;1348.792,-8841.526,75	1/0/0;0/1/0;0/0/1
OTHER	1729	Ks_VolBody	0	1333.792,-8702.847,-11.25	1318.792,-8720.168,-97.5;1348.792,-8685.526,75	1/0/0;0/1/0;0/0/1
OTHER	172A	Ks_VolBody	0	1171.792,-8858.847,-11.25	1156.792,-8876.168,-97.5;1186.792,-8841.526,75	1/0/0;0/1/0;0/0/1
OTHER	172B	Ks_VolBody	0	1171.792,-8702.847,-11.25	1156.792,-8720.168,-97.5;1186.792,-8685.526,75	1/0/0;0/1/0;0/0/1
